################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.5609156665388189E-01 a       161     0     9     1     1
 -3.1000131088039184E-01 a       162     0     9     1     2
 -3.5124354720760631E-01 a       163     0     9     1     3
 -3.0233844774817670E-01 a       164     0     9     1     4
  5.9352475294260777E-02 a       165     0     9     1     5
  3.1462953255430837E-01 a       166     0     9     1     6
 -2.1498705218688613E-01 a       167     0     9     1     7
 -3.6939212322778059E-01 a       168     0     9     1     8
  3.1273292748956150E-01 a       169     0     9     1     9
 -2.3152481663224977E-01 a       170     0     9     1    10
 -1.0134143904379221E-01 a       171     0     9     1    11
  1.6452835515707617E-01 a       172     0     9     1    12
 -1.5207954430564827E-01 a       173     0     9     1    13
  1.0646590417326438E-01 a       174     0     9     1    14
  9.1561583963503113E-02 a       175     0     9     1    15
  2.6071386298517039E-02 a       176     0     9     1    16
 -4.3172374610609232E-01 a       177     0     9     1    17
 -5.7152039500725733E-02 a       178     0     9     1    18
 -1.0963839434215056E-01 a       179     0     9     1    19
 -1.6438743812968296E-01 a       180     0     9     1    20
  1.2634692835861158E-01 a       181     0    10     1     1
 -2.7582383177765046E-01 a       182     0    10     1     2
  2.4436410437396408E-01 a       183     0    10     1     3
 -6.5824712170409513E-02 a       184     0    10     1     4
 -1.5271737727064624E-01 a       185     0    10     1     5
  1.7284604025761630E-01 a       186     0    10     1     6
 -2.2278907787994840E-02 a       187     0    10     1     7
  2.2446766586993550E-01 a       188     0    10     1     8
  3.7138341436527611E-02 a       189     0    10     1     9
  2.3611795917054459E-01 a       190     0    10     1    10
 -4.5740366049101688E-01 a       191     0    10     1    11
  2.4496160134045136E-01 a       192     0    10     1    12
  1.0011253651640065E-01 a       193     0    10     1    13
 -1.4429812526300578E-01 a       194     0    10     1    14
 -4.2296757759350476E-02 a       195     0    10     1    15
 -3.4825394273931093E-01 a       196     0    10     1    16
  1.8171132708848060E-02 a       197     0    10     1    17
 -3.5112850339915909E-02 a       198     0    10     1    18
  3.4158579785872289E-01 a       199     0    10     1    19
  1.1820582923244963E-01 a       200     0    10     1    20
  5.3020395690839731E-02 a       201     0    11     1     1
  2.2855332602501253E-02 a       202     0    11     1     2
  3.8572958093525643E-02 a       203     0    11     1     3
  6.8143349667591779E-02 a       204     0    11     1     4
  9.7628107864309491E-02 a       205     0    11     1     5
 -1.4800631994974428E-01 a       206     0    11     1     6
  2.2163497547985387E-02 a       207     0    11     1     7
 -4.6827417305217868E-02 a       208     0    11     1     8
  3.2122619736042728E-03 a       209     0    11     1     9
 -2.0337067312839208E-01 a       210     0    11     1    10
  2.0656971734976934E-01 a       211     0    11     1    11
  2.0365453468032801E-01 a       212     0    11     1    12
  5.8440094771522968E-02 a       213     0    11     1    13
  1.9052870119669982E-01 a       214     0    11     1    14
 -2.9776305147841053E-01 a       215     0    11     1    15
  3.9537605896838363E-01 a       216     0    11     1    16
  2.7722114231203893E-01 a       217     0    11     1    17
 -2.1288423169898255E-01 a       218     0    11     1    18
 -1.2235555281415966E-01 a       219     0    11     1    19
  5.9843432711386743E-02 a       220     0    11     1    20
 -2.3397161599664990E-01 a       221     0    12     1     1
  3.2834807948786093E-01 a       222     0    12     1     2
  1.1169685336610628E-01 a       223     0    12     1     3
 -3.2915415112902982E-02 a       224     0    12     1     4
  1.6001665483063021E-01 a       225     0    12     1     5
 -5.3637534882059128E-02 a       226     0    12     1     6
  2.5880287524182916E-01 a       227     0    12     1     7
 -2.2478432660359121E-01 a       228     0    12     1     8
 -1.1035961029646423E-01 a       229     0    12     1     9
 -2.1522439687128220E-01 a       230     0    12     1    10
  3.4487413347382756E-01 a       231     0    12     1    11
 -7.5020666289224935E-02 a       232     0    12     1    12
 -1.2378373687843644E-01 a       233     0    12     1    13
  1.8301003748405356E-01 a       234     0    12     1    14
 -1.5713066961253336E-01 a       235     0    12     1    15
  1.0926618181398935E-01 a       236     0    12     1    16
 -2.0482913857586940E-01 a       237     0    12     1    17
  1.6978829005164711E-01 a       238     0    12     1    18
 -1.1055316742649526E-01 a       239     0    12     1    19
 -1.7396924652839221E-02 a       240     0    12     1    20
  1.0516784615747940E-01 a       241     0    13     1     1
 -2.1039682257964790E-01 a       242     0    13     1     2
  2.1208767697779543E-01 a       243     0    13     1     3
 -2.2293340909168974E-01 a       244     0    13     1     4
 -1.0695812082137490E-01 a       245     0    13     1     5
  1.6022772169458682E-01 a       246     0    13     1     6
 -1.8537370909464881E-01 a       247     0    13     1     7
 -1.8786970504382605E-01 a       248     0    13     1     8
 -1.5299011573955559E-01 a       249     0    13     1     9
  2.6728133623609751E-01 a       250     0    13     1    10
 -3.5528390078370810E-02 a       251     0    13     1    11
  1.0854651927176774E-01 a       252     0    13     1    12
 -1.3681738591159456E-01 a       253     0    13     1    13
  5.9687306484957417E-02 a       254     0    13     1    14
  3.8753553033029609E-01 a       255     0    13     1    15
  1.5888853019930974E-01 a       256     0    13     1    16
 -6.9745140638347289E-02 a       257     0    13     1    17
 -2.1800039040334165E-01 a       258     0    13     1    18
 -7.4993773731178548E-02 a       259     0    13     1    19
  1.1424014450749057E-01 a       260     0    13     1    20
  2.0236180503708537E-01 a       261     0    14     1     1
 -2.6684032797370438E-01 a       262     0    14     1     2
  2.3699530296784491E-01 a       263     0    14     1     3
  2.1945707752150315E-01 a       264     0    14     1     4
 -1.9951304091293642E-01 a       265     0    14     1     5
 -9.3776976802912887E-02 a       266     0    14     1     6
 -2.1220168486959212E-01 a       267     0    14     1     7
  1.4948153466399861E-01 a       268     0    14     1     8
 -6.7789728959072607E-02 a       269     0    14     1     9
  1.5973460031966952E-01 a       270     0    14     1    10
 -2.6537950514129593E-01 a       271     0    14     1    11
 -1.2385249927154207E-01 a       272     0    14     1    12
 -4.0046426000987401E-02 a       273     0    14     1    13
  2.9851496356043061E-01 a       274     0    14     1    14
  2.9710947970074503E-01 a       275     0    14     1    15
 -9.4894646237161540E-02 a       276     0    14     1    16
  6.8312397293219987E-02 a       277     0    14     1    17
 -1.2945054346428628E-01 a       278     0    14     1    18
  1.9541543043428236E-01 a       279     0    14     1    19
 -6.2078851508640197E-02 a       280     0    14     1    20
 -1.7806507568350980E-02 a       281     0    15     1     1
 -6.1160929008502188E-02 a       282     0    15     1     2
  3.8435754322533960E-02 a       283     0    15     1     3
 -7.8489589906583085E-02 a       284     0    15     1     4
  4.4999907207073808E-02 a       285     0    15     1     5
  7.7287078916783186E-02 a       286     0    15     1     6
  2.2961421284608541E-02 a       287     0    15     1     7
  6.0155261273499343E-02 a       288     0    15     1     8
  2.6964531883312787E-01 a       289     0    15     1     9
  2.8782941399686252E-01 a       290     0    15     1    10
  3.3345286469662012E-02 a       291     0    15     1    11
  8.0682094002746021E-02 a       292     0    15     1    12
  3.7707557551147526E-02 a       293     0    15     1    13
  1.7481044640950213E-01 a       294     0    15     1    14
 -3.0724390158391152E-01 a       295     0    15     1    15
  4.0854130684916466E-02 a       296     0    15     1    16
 -1.9104736156342983E-01 a       297     0    15     1    17
  1.0679016834350774E-01 a       298     0    15     1    18
  4.4390254608242745E-02 a       299     0    15     1    19
 -1.2950142258935074E-01 a       300     0    15     1    20
  9.4353528134773851E-02 a       301     0    16     1     1
  2.1571113722569735E-01 a       302     0    16     1     2
 -2.9456955593934735E-02 a       303     0    16     1     3
 -1.4316590844193150E-01 a       304     0    16     1     4
  6.6847799590782603E-02 a       305     0    16     1     5
  7.8777575139562114E-02 a       306     0    16     1     6
  1.4405099894685841E-01 a       307     0    16     1     7
  1.8087353413137847E-01 a       308     0    16     1     8
 -1.5011285194187141E-01 a       309     0    16     1     9
 -2.2757170598325452E-01 a       310     0    16     1    10
